MachineName,PrimaryUser,SystemManufacturer,SystemProduct,SystemModel,CPUProduct,CPU Speed(MHz),Device CreateDate,Hard DiskSpace,Free DiskSpace,IP Address
fbe-116368,mq20120517,LENOVO,ThinkPad T520,4242-PV6,Core i5-2520M,2500,10/07/2012,305243,185405,10.41.16.128
fbe-116376,mq20120013,LENOVO,ThinkPad T520,4242-PV6,Core i5-2520M,2500,05/25/2012,305243,104682,192.168.1.4
fbe-116384,mq20085216,LENOVO,ThinkPad T520,4242-PV6,Core i5-2520M,2500,2/09/2012,320070,18245,10.6.30.243
fbe-116392,mq87500256,LENOVO,ThinkPad T520,4242-PV6,Core i5-2520M,2500,10/18/2012,305243,115967,10.41.61.177
fbe-116400,mq20096125,LENOVO,ThinkPad T520,4242-PV6,Core i5-2520M,2500,09/13/2012,305243,96803,10.72.3.81
fbe-116426,mq91503159,LENOVO,ThinkPad T520,4242-CTO,Core i5-2520M,2500,09/24/2012,305243,117873,10.41.27.39
fbe-116434,mq20058979,LENOVO,ThinkPad T520,4242-CTO,Core i5-2520M,2500,09/13/2012,305243,118874,10.41.26.195
fbe-116442,mq20022321,LENOVO,ThinkPad T520,4242-CTO,Core i5-2520M,2500,09/14/2012,305243,116982,10.41.49.83
fbe-116459,mq20120861,LENOVO,ThinkPad T520,4242-CTO,Core i5-2520M,2500,9/11/2012,305243,118545,10.41.33.219
fbe-116467,mq20019030,LENOVO,ThinkPad T520,4242-CTO,Core i5-2520M,2500,09/13/2012,305243,100459,10.41.26.55
fbe-116475,mq20084232,LENOVO,ThinkPad T520,4242-CTO,Core i5-2520M,2500,11/30/2012,305243,194188,10.41.58.152
fbe-116491,mq96316896,Fujitsu,LIFEBOOK T730,,Core i5,2670,04/13/2012,476938,183107,10.72.3.141
fbe-116509,mq20083757,Fujitsu,LIFEBOOK T730,,Core i5,2670,8/08/2014,476938,109983,10.72.2.93
fbe-116517,mq89500504,Fujitsu,LIFEBOOK T730,,Core i5,2670,3/07/2012,476938,183200,192.168.0.9
fbe-116525,mq20006694,Fujitsu,LIFEBOOK T730,,Core i5,2670,2/10/2012,476938,198170,10.41.17.1
fbe-116533,mq93501676,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,3/08/2013,244191,99514,10.41.24.167
fbe-116541,mq41948289,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,3/08/2013,244191,14556,10.72.2.66
fbe-116558,mq87602059,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,3/08/2013,244191,106785,10.72.2.56
fbe-116566,MQ20131980,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,3/08/2013,244191,105717,10.41.27.5
fbe-116574,30666562,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,3/07/2013,244191,186811,10.41.19.106
fbe-116582,MQ20130022,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,3/07/2013,244191,115815,192.168.0.14
fbe-116590,mq20111299,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,3/07/2013,244191,197617,10.41.17.65
fbe-116608,mq20120519,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,3/07/2013,244191,109990,192.168.1.107
fbe-116616,mq20112749,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,3/07/2013,244191,197231,10.41.21.114
fbe-116624,Fabrice Govinden,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,3/11/2013,244196,204046,10.41.17.121
fbe-116640,mq41653858,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,03/25/2013,244191,165247,192.168.0.15
fbe-116749,mqx803033,System manufacturer,System Product Name,,Core i7-4960X,3600,2/12/2014,3105754,887918,10.41.41.246
fbe-116848,MQ20140382,System manufacturer,System Product Name,,Core i7-4960X,3600,04/24/2014,488382,1849547,10.41.41.79
fbe-117002,MQ42753929,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,10/05/2012,476938,45889,10.41.93.98
fbe-117010,mq20085837,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,10/03/2012,476938,88704,10.196.28.228
fbe-117028,mq20095956,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,4/09/2012,476938,191240,10.41.34.195
fbe-117036,mq20096629,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,09/13/2012,476938,195209,10.41.20.166
fbe-117044,mq92502245,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,6/07/2012,476938,195475,10.41.20.134
fbe-117051,41828534,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,7/08/2012,476938,158011,10.72.172.70
fbe-117069,43102506,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,07/25/2013,476938,99169,10.72.202.87
fbe-117077,mq20006694,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,4/07/2014,476938,165972,10.72.2.125
fbe-117085,mq20060196,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,4/10/2012,476938,306855,10.0.0.8
fbe-117093,mq41543246,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,03/20/2013,476938,160971,192.168.0.23
fbe-117101,42977282,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,11/18/2013,476938,195188,10.41.20.177
fbe-117119,mq20096276,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,9/09/2012,476938,86935,10.41.61.134
fbe-117127,mq20072810,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,03/20/2012,476938,76078,10.41.26.49
fbe-117135,MQ20142029,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,04/23/2012,476938,187855,10.41.18.175
fbe-117143,mq20097610,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,09/13/2012,476938,190822,192.168.1.179
fbe-117309,mq20101568,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,07/16/2013,122103,7588,10.41.76.18
fbe-117523,mq20101568,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,7/12/2013,122103,20543,10.41.77.144
fbe-117549,mq20101568,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,07/16/2013,122103,61670,10.41.77.15
fbe-117697,mq20109518,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,07/16/2013,122103,27756,10.41.78.110
fbe-117994,mq20120519,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,5/04/2015,122103,66714,10.41.22.245
fbe-118808,mq20006694,"VMware, Inc.",VMware Virtual Platform,,Core i5,2670,06/28/2013,322118,131687,10.41.21.227
fbe-119495,MQ20131377,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,07/16/2013,122103,14068,10.41.76.182
fbe-119511,mq20112786,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,07/16/2013,122103,14329,10.41.75.159
fbe-119529,mq20111676,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,07/16/2013,122103,59852,10.41.78.66
fbe-119537,mq20109259,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,07/16/2013,122103,33353,10.41.73.220
fbe-119982,mq20111677,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,07/16/2013,122103,948,10.41.77.58
fbe-119990,mq20109368,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,07/16/2013,122103,22146,10.41.76.109
fbe-120014,mq42662435,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,07/23/2013,122103,872,10.41.74.174
fbe-120030,mq20120633,ASUSTeK Computer INC.,ET2311I,,Core i5-4430S,2700,07/16/2013,122103,25744,10.41.73.37
fbe-120303,mq20101904,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,59009,10.41.36.214
fbe-120311,MQ20059486,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244196,15521,10.126.31.148
fbe-120337,mq20069708,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,99398,10.72.2.111
fbe-120345,mqx804154,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/20/2013,244191,181785,10.0.0.56
fbe-120352,mq20072681,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,86859,10.72.2.72
fbe-120360,mq87500701,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,2151892,1994446,10.72.3.161
fbe-120378,mq20111410,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,92392,10.41.21.179
fbe-120386,mq20073100,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/20/2013,244191,83836,10.72.3.170
fbe-120394,mq20097452,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,08/29/2013,244191,50118,10.0.0.14
fbe-120402,MQ20133572,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,02/25/2014,244191,186281,10.41.22.222
fbe-120410,MQ43020100,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,02/25/2014,244191,198299,10.41.17.230
fbe-120428,mq20060031,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,02/25/2014,244191,88850,10.41.68.166
fbe-120436,mq20120519,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,02/25/2014,244191,185794,10.41.22.98
fbe-120444,mq20018881,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,5/05/2014,244191,153671,10.41.58.184
fbe-120451,mq41330196,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,02/25/2014,244191,91651,10.72.3.191
fbe-120469,mq20102169,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,02/25/2014,244191,190002,10.41.22.115
fbe-120477,mq20006102,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,02/25/2014,244191,83702,10.72.2.89
fbe-120485,MQ20142845,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,02/25/2014,244191,82610,10.72.2.46
fbe-120501,mq20084422,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,06/24/2014,244191,171528,10.41.32.144
fbe-120519,mq42298466,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244196,135036,192.168.0.4
fbe-120527,MQ42232694,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244191,156144,192.168.1.2
