Application Name,Version,Dependency,App Usage,MSI,MST,Config Files,Setup.exe,license server,License type,Lic count,Number of staff ,Application Type,Phase,Hardcoded License issue,Sequencing Done,Tech,AKS and other Documentation,Tech,Publishing Done,Tech,Published on Citrix Storefront,Tech,Testing Done,Tech,Directly on Server,Comments
Ghost Script,9.05,None,FBE,no,no,no,yes,no,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
Grammarly,2.4,Microsoft Office,FBE,no,no,no,yes,no,FBE SITE,200,1,add-in,2,no,,,,,,,,,,,,
Grind EQ,2015,None,FBE,no,no,no,yes,no,INDIVIDUAL,1,0,application,2,yes,,,,,,,,,,,,
GS view,5,None,FBE,no,no,no,yes,no,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
Itunes,10.4.1,None,FBE,,,,,,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
JmulTi,4.24,None,FBE,no,no,no,yes,,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
Klim Type Foundry Font - National,1,None,FBE,,,,,,INDIVIDUAL,8,6,Fonts,2,NA,,,,,,,,,,,,
Klim Type Foundry Font - Newzald,1,None,FBE,,,,,,INDIVIDUAL,8,6,Fonts,2,NA,,,,,,,,,,,,
LatentGold,4.5,None,FBE,,,,,,INDIVIDUAL,1,0,application,2,no,,,,,,,,,,,,
Latex,1,None,FBE,,,,,,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
Limdep,10,None,FBE,no,no,no,yes,no,INDIVIDUAL,5,1,application,2,no,,,,,,,,,,,,
Lisrel,8.8,None,FBE,,,,,,INDIVIDUAL,1,0,application,2,To be investigated,,,,,,,,,,,,
Maple,2015,None,FBE,,,,,,CONCURRENT,3,1,application,2,no,,,,,,,,,,,,
Mathematica,8.0.1,,FBE,no,no,no,yes,no,INDIVIDUAL,1,0,application,2,yes,,,,,,,,,,,,
Microfit,5,Packageing not Required;Run off the network,FBE,yes,no,no,no,yes,INDIVIDUAL,5,3,application,2,no,,,,,,,,,,,,
MikTex,2.9,None,FBE,no,no,no,yes,no,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
Morae,3.2,web,FBE,no,no,no,yes,no,INDIVIDUAL,1,0,application,2,To be investigated,,,,,,,,,,,,
MPlus,7.31,None,FBE,,,,,,INDIVIDUAL,1,0,application,2,To be investigated,,,,,,,,,,,,
Net Logo,5.0.3,,FBE,,,,,,FREEWARE,0,0,application,2,To be investigated,,,,,,,,,,,,
Oxmetrics,7,None,FBE,,,,,,INDIVIDUAL,2,2,application,2,yes,,,,,,,,,,,,
PCTeX,6,,FBE,,,,,,INDIVIDUAL,2,1,application,2,no,,,,,,,,,,,,
PDF Annotator,3,Acrobat reader,FBE,,,,,,INDIVIDUAL,4,3,application,2,no,,,,,,,,,,,,
QMWin32,1,None,FBE,,,,,,FBE SITE,0,0,application,2,To be investigated,,,,,,,,,,,,
Quickbooks,19,None,FBE,,,,,,FBE SITE,0,0,application,2,no,,,,,,,,,,,,
Quicktime,7.6.9,None,UNI,,,,,,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
ReadAbility Formulas,7.4,None,FBE,,,,,,INDIVIDUAL,1,1,application,2,To be investigated,,,,,,,,,,,,
RealPlayer,14.0.7.669,None,UNI,,,,,,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
SawTooth,7,,FBE,,,,,,FBE SITE,0,0,application,2,no,,,,,,,,,,,,
Scientific Notebook,3.5,None,FBE,,,,,,FBE CONCURRENT,41,0,application,2,yes,,,,,,,,,,,,
Scientific Word,5.5,,FBE,,,,,,INDIVIDUAL,5,2,application,2,yes,,,,,,,,,,,,
Scilab,5.4,None,UNI (STUDENT),,,,,,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
Snagit,10.0.1.0,None,FBE,,,,,,INDIVIDUAL,15,2,application,2,no,,,,,,,,,,,,
Stat Transfer,13,None,FBE,,,,,,FBE SITE,25,1,application,2,no,,,,,,,,,,,,
STELLA,10,None,FBE,,,,,,INDIVIDUAL,1,1,application,2,To be investigated,,,,,,,,,,,,
Tableau Desktop Professional,9,None,FBE,,,,,,INDIVIDUAL,2,2,application,2,NA,,,,,,,,,,,,
Telestream Screenflow software,5,MAC Platform,FBE,,,,,,INDIVIDUAL,1,1,application,2,To be investigated,,,,,,,,,,,,
TexFonts25,1,Firefox,UNI (STUDENT),,,,,,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
Texnic Center,2.1,MikTeX,UNI (STUDENT),,,,,,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
TeXStudio,2.5.2,None,UNI (STUDENT),,,,,,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
Timetrade,1,Web App,UNI,,,,,,0,0,0,application,2,To be investigated,,,,,,,,,,,,
TreeAge Pro Healthcare,R1.2,None,FBE,,,,,,INDIVIDUAL,10,2,application,2,no,,,,,,,,,,,,
Vensim,5.9E,None,FBE,,,,,,INDIVIDUAL,1,0,application,2,To be investigated,,,,,,,,,,,,
